observation_index,capture_wall_time_ms,execution_state,timeline_s,commanded_json,actual_json,torque_json
0,1788495150275,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.045072106230152,0.6267220780511594,-1.6071796349148955,1.4871311765737452,-0.06071511775497714,0.5934018227684105],""received_at_ms"":1788495150234,""age_ms"":41,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09638318994750886,2.5492678735027883,1.6175721979458957,-1.4880441583054635,3.193295589219172,2.5726156665054924],""received_at_ms"":1788495150210,""age_ms"":65,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-120.16989595300402,-10.271411003923276,3.082275390625,-6.386474609375,-0.0123291015625,0.64111328125],""received_at_ms"":1788495150177,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":98,""fresh"":true},""right"":{""values"":[120.89955902978545,0.4490234318654984,-3.920654296875,8.359130859375,-0.2589111328125,0.2095947265625],""received_at_ms"":1788495149809,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":466,""fresh"":true}}"
1,1788495150375,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450480206864747,0.6267100352793207,-1.6071796349148955,1.4871552621174227,-0.06071511775497714,0.5934018227684105],""received_at_ms"":1788495150311,""age_ms"":64,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09635927893675653,2.549231919720197,1.6175721979458957,-1.4880321155336247,3.193295589219172,2.572627709277331],""received_at_ms"":1788495150326,""age_ms"":49,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-120.16989595300402,-10.271411003923276,3.082275390625,-6.386474609375,-0.0123291015625,0.64111328125],""received_at_ms"":1788495150177,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":198,""fresh"":true},""right"":{""values"":[120.89955902978545,0.4490234318654984,-3.920654296875,8.359130859375,-0.2589111328125,0.2095947265625],""received_at_ms"":1788495149809,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":566,""fresh"":true}}"
2,1788495150467,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.045072106230152,0.6267339462900731,-1.6071796349148955,1.4871311765737452,-0.06071511775497714,0.5934018227684105],""received_at_ms"":1788495150385,""age_ms"":82,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09638318994750886,2.5492439624920364,1.6175842407177345,-1.4880321155336247,3.1933076319910114,2.572627709277331],""received_at_ms"":1788495150437,""age_ms"":30,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-120.16989595300402,-10.271411003923276,3.082275390625,-6.386474609375,-0.0123291015625,0.64111328125],""received_at_ms"":1788495150177,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":290,""fresh"":true},""right"":{""values"":[120.89955902978545,0.4490234318654984,-3.920654296875,8.359130859375,-0.2589111328125,0.2095947265625],""received_at_ms"":1788495149809,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":658,""fresh"":true}}"
3,1788495150567,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450480206864747,0.6267220780511594,-1.6071796349148955,1.4871193083348315,-0.06071511775497714,0.5934018227684105],""received_at_ms"":1788495150503,""age_ms"":64,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09638318994750886,2.549231919720197,1.6175601551740573,-1.4880321155336247,3.1933076319910114,2.5726156665054924],""received_at_ms"":1788495150509,""age_ms"":58,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-120.16989595300402,-10.271411003923276,3.082275390625,-6.386474609375,-0.0123291015625,0.64111328125],""received_at_ms"":1788495150177,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":390,""fresh"":true},""right"":{""values"":[120.89955902978545,0.4490234318654984,-3.920654296875,8.359130859375,-0.2589111328125,0.2095947265625],""received_at_ms"":1788495149809,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":758,""fresh"":true}}"
4,1788495150668,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450600634583136,0.6267339462900731,-1.6071796349148955,1.4871311765737452,-0.06071511775497714,0.5934136910073241],""received_at_ms"":1788495150666,""age_ms"":2,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.0963713217085953,2.5492439624920364,1.6175721979458957,-1.4880321155336247,3.1933076319910114,2.5726156665054924],""received_at_ms"":1788495150581,""age_ms"":87,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-120.16989595300402,-10.271411003923276,3.082275390625,-6.386474609375,-0.0123291015625,0.64111328125],""received_at_ms"":1788495150177,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":491,""fresh"":true},""right"":{""values"":[120.89955902978545,0.4490234318654984,-3.920654296875,8.359130859375,-0.2589111328125,0.2095947265625],""received_at_ms"":1788495149809,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":859,""fresh"":true}}"
5,1788495150780,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.045072106230152,0.6267339462900731,-1.6071557239041434,1.487143219345584,-0.06070307498313838,0.5934257337791629],""received_at_ms"":1788495150775,""age_ms"":5,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09638318994750886,2.549231919720197,1.6175721979458957,-1.4880321155336247,3.1933076319910114,2.5726037982665786],""received_at_ms"":1788495150691,""age_ms"":89,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-120.16989595300402,-10.271411003923276,3.082275390625,-6.386474609375,-0.0123291015625,0.64111328125],""received_at_ms"":1788495150177,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":603,""fresh"":true},""right"":{""values"":[120.89955902978545,0.4490234318654984,-3.920654296875,8.359130859375,-0.2589111328125,0.2095947265625],""received_at_ms"":1788495149809,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":971,""fresh"":true}}"
6,1788495150870,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.045072106230152,0.6267339462900731,-1.6071557239041434,1.487143219345584,-0.06070307498313838,0.5934257337791629],""received_at_ms"":1788495150775,""age_ms"":95,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09639523271934762,2.5492439624920364,1.6175721979458957,-1.4880321155336247,3.1933076319910114,2.572627709277331],""received_at_ms"":1788495150805,""age_ms"":65,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-120.16989595300402,-10.271411003923276,3.082275390625,-6.386474609375,-0.0123291015625,0.64111328125],""received_at_ms"":1788495150177,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":693,""fresh"":true},""right"":{""values"":[120.89955902978545,0.4490234318654984,-3.920654296875,8.359130859375,-0.2589111328125,0.2095947265625],""received_at_ms"":1788495149809,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1061,""fresh"":true}}"
7,1788495150971,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.045072106230152,0.6267339462900731,-1.6071557239041434,1.4871311765737452,-0.06071511775497714,0.5933897799965717],""received_at_ms"":1788495150906,""age_ms"":65,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09638318994750886,2.5492439624920364,1.6175721979458957,-1.4880321155336247,3.193295589219172,2.5726156665054924],""received_at_ms"":1788495150920,""age_ms"":51,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-120.16989595300402,-10.271411003923276,3.082275390625,-6.386474609375,-0.0123291015625,0.64111328125],""received_at_ms"":1788495150177,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":794,""fresh"":true},""right"":{""values"":[120.89955902978545,0.4490234318654984,-3.920654296875,8.359130859375,-0.2589111328125,0.2095947265625],""received_at_ms"":1788495149809,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1162,""fresh"":true}}"
8,1788495151072,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450600634583136,0.6267220780511594,-1.607167592143057,1.487143219345584,-0.06071511775497714,0.5934136910073241],""received_at_ms"":1788495151023,""age_ms"":49,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09635927893675653,2.549231919720197,1.6175842407177345,-1.488020072761786,3.193295589219172,2.5726156665054924],""received_at_ms"":1788495151064,""age_ms"":8,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-120.16989595300402,-10.271411003923276,3.082275390625,-6.386474609375,-0.0123291015625,0.64111328125],""received_at_ms"":1788495150177,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":895,""fresh"":true},""right"":{""values"":[120.89955902978545,0.4490234318654984,-3.920654296875,8.359130859375,-0.2589111328125,0.2095947265625],""received_at_ms"":1788495149809,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1263,""fresh"":true}}"
9,1788495151173,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450480206864747,0.6267339462900731,-1.607167592143057,1.4871311765737452,-0.06071511775497714,0.5934257337791629],""received_at_ms"":1788495151163,""age_ms"":10,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09635927893675653,2.549231919720197,1.6175842407177345,-1.488020072761786,3.193295589219172,2.5726156665054924],""received_at_ms"":1788495151064,""age_ms"":109,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-120.16989595300402,-10.271411003923276,3.082275390625,-6.386474609375,-0.0123291015625,0.64111328125],""received_at_ms"":1788495150177,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":996,""fresh"":true},""right"":{""values"":[120.89955902978545,0.4490234318654984,-3.920654296875,8.359130859375,-0.2589111328125,0.2095947265625],""received_at_ms"":1788495149809,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1364,""fresh"":true}}"
