observation_index,capture_wall_time_ms,execution_state,timeline_s,commanded_json,actual_json,torque_json
0,1788503651033,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450480206864747,0.6267100352793207,-1.607167592143057,1.4871193083348315,-0.06071511775497714,0.5934257337791629],""received_at_ms"":1788503650915,""age_ms"":118,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.0963713217085953,2.5492439624920364,1.6175842407177345,-1.4880321155336247,3.193319500229925,2.5726037982665786],""received_at_ms"":1788503650906,""age_ms"":127,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-100.86188838278758,-6.061816330184229,0.0986328125,-2.76171875,0.0,0.93084716796875],""received_at_ms"":1788503650125,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":906,""fresh"":true},""right"":{""values"":[100.91801631177077,-0.6735351477982476,-1.208251953125,2.589111328125,0.320556640625,0.38836669921875],""received_at_ms"":1788503650720,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":311,""fresh"":true}}"
1,1788503651103,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450361524475613,0.6267100352793207,-1.607167592143057,1.487143219345584,-0.060727160526815906,0.5934136910073241],""received_at_ms"":1788503651098,""age_ms"":5,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09640727549118637,2.549231919720197,1.6175601551740573,-1.4880441583054635,3.1933076319910114,2.572627709277331],""received_at_ms"":1788503651036,""age_ms"":67,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-100.86188838278758,-6.061816330184229,0.0986328125,-2.76171875,0.0,0.93084716796875],""received_at_ms"":1788503650125,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":978,""fresh"":true},""right"":{""values"":[100.91801631177077,-0.6735351477982476,-1.208251953125,2.589111328125,0.320556640625,0.38836669921875],""received_at_ms"":1788503650720,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":383,""fresh"":true}}"
2,1788503651210,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450361524475613,0.6267339462900731,-1.607167592143057,1.487143219345584,-0.060727160526815906,0.5934136910073241],""received_at_ms"":1788503651172,""age_ms"":38,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.0963713217085953,2.549231919720197,1.6175842407177345,-1.4880441583054635,3.1933076319910114,2.572627709277331],""received_at_ms"":1788503651164,""age_ms"":46,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-100.86188838278758,-6.061816330184229,0.0986328125,-2.76171875,0.0,0.93084716796875],""received_at_ms"":1788503650125,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1085,""fresh"":true},""right"":{""values"":[100.91801631177077,-0.6735351477982476,-1.208251953125,2.589111328125,0.320556640625,0.38836669921875],""received_at_ms"":1788503650720,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":490,""fresh"":true}}"
3,1788503651305,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450480206864747,0.6267100352793207,-1.607167592143057,1.4871311765737452,-0.06071511775497714,0.5934136910073241],""received_at_ms"":1788503651279,""age_ms"":26,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09639523271934762,2.5492439624920364,1.6175721979458957,-1.4880321155336247,3.1933315430017633,2.5726156665054924],""received_at_ms"":1788503651279,""age_ms"":26,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-100.86188838278758,-6.061816330184229,0.0986328125,-2.76171875,0.0,0.93084716796875],""received_at_ms"":1788503650125,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1180,""fresh"":true},""right"":{""values"":[100.91801631177077,-0.6735351477982476,-1.208251953125,2.589111328125,0.320556640625,0.38836669921875],""received_at_ms"":1788503650720,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":585,""fresh"":true}}"
4,1788503651407,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450361524475613,0.6267220780511594,-1.6071557239041434,1.4871311765737452,-0.06071511775497714,0.5934018227684105],""received_at_ms"":1788503651390,""age_ms"":17,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09638318994750886,2.549256005263875,1.6175721979458957,-1.4880321155336247,3.193319500229925,2.5726156665054924],""received_at_ms"":1788503651349,""age_ms"":58,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-100.86188838278758,-6.061816330184229,0.0986328125,-2.76171875,0.0,0.93084716796875],""received_at_ms"":1788503650125,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1282,""fresh"":true},""right"":{""values"":[100.91801631177077,-0.6735351477982476,-1.208251953125,2.589111328125,0.320556640625,0.38836669921875],""received_at_ms"":1788503650720,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":687,""fresh"":true}}"
5,1788503651507,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450480206864747,0.6267100352793207,-1.607167592143057,1.4871311765737452,-0.06071511775497714,0.5934136910073241],""received_at_ms"":1788503651458,""age_ms"":49,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09639523271934762,2.549256005263875,1.6175721979458957,-1.4880321155336247,3.1933076319910114,2.5726156665054924],""received_at_ms"":1788503651418,""age_ms"":89,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-100.86188838278758,-6.061816330184229,0.0986328125,-2.76171875,0.0,0.93084716796875],""received_at_ms"":1788503650125,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1382,""fresh"":true},""right"":{""values"":[100.91801631177077,-0.6735351477982476,-1.208251953125,2.589111328125,0.320556640625,0.38836669921875],""received_at_ms"":1788503650720,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":787,""fresh"":true}}"
6,1788503651610,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450600634583136,0.6267220780511594,-1.607167592143057,1.4871193083348315,-0.06071511775497714,0.5934018227684105],""received_at_ms"":1788503651527,""age_ms"":83,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.0963713217085953,2.5492439624920364,1.6175842407177345,-1.488020072761786,3.193319500229925,2.5726156665054924],""received_at_ms"":1788503651601,""age_ms"":9,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-100.86188838278758,-6.061816330184229,0.0986328125,-2.76171875,0.0,0.93084716796875],""received_at_ms"":1788503650125,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1485,""fresh"":true},""right"":{""values"":[100.91801631177077,-0.6735351477982476,-1.208251953125,2.589111328125,0.320556640625,0.38836669921875],""received_at_ms"":1788503650720,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":890,""fresh"":true}}"
7,1788503651716,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450480206864747,0.6267220780511594,-1.607167592143057,1.4871552621174227,-0.060727160526815906,0.5934136910073241],""received_at_ms"":1788503651644,""age_ms"":72,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09638318994750886,2.5492439624920364,1.6175482869351436,-1.4880321155336247,3.1933315430017633,2.5726037982665786],""received_at_ms"":1788503651668,""age_ms"":48,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-100.86188838278758,-6.061816330184229,0.0986328125,-2.76171875,0.0,0.93084716796875],""received_at_ms"":1788503650125,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1590 ms exceeds 1500 ms"",""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1590,""fresh"":false},""right"":{""values"":[100.91801631177077,-0.6735351477982476,-1.208251953125,2.589111328125,0.320556640625,0.38836669921875],""received_at_ms"":1788503650720,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":995,""fresh"":true}}"
8,1788503651817,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450361524475613,0.6267220780511594,-1.6071557239041434,1.487143219345584,-0.06071511775497714,0.5934018227684105],""received_at_ms"":1788503651766,""age_ms"":51,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09635927893675653,2.5492439624920364,1.6175601551740573,-1.4880321155336247,3.1933076319910114,2.5726156665054924],""received_at_ms"":1788503651783,""age_ms"":34,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-100.86188838278758,-6.061816330184229,0.0986328125,-2.76171875,0.0,0.93084716796875],""received_at_ms"":1788503650125,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1692 ms exceeds 1500 ms"",""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1692,""fresh"":false},""right"":{""values"":[100.91801631177077,-0.6735351477982476,-1.208251953125,2.589111328125,0.320556640625,0.38836669921875],""received_at_ms"":1788503650720,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1097,""fresh"":true}}"
9,1788503651916,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.045072106230152,0.6267220780511594,-1.607167592143057,1.4871311765737452,-0.060727160526815906,0.5934136910073241],""received_at_ms"":1788503651888,""age_ms"":28,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.0963713217085953,2.5492439624920364,1.6175721979458957,-1.4880321155336247,3.1933315430017633,2.5726037982665786],""received_at_ms"":1788503651894,""age_ms"":22,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-100.86188838278758,-6.061816330184229,0.0986328125,-2.76171875,0.0,0.93084716796875],""received_at_ms"":1788503650125,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1791 ms exceeds 1500 ms"",""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1791,""fresh"":false},""right"":{""values"":[100.91801631177077,-0.6735351477982476,-1.208251953125,2.589111328125,0.320556640625,0.38836669921875],""received_at_ms"":1788503650720,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1196,""fresh"":true}}"
