sample_index,time_from_start_s,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,cartesian_json
0,0.0,3.045060063488799,0.6267219970664958,-1.6071795538667752,1.4871193084539087,-0.06070315611846076,0.5934137717739247,0.09638686536446404,2.5492402495803677,1.6175758384031034,-1.488023786583668,3.193331505836866,2.572619415772101,"{""sample_index"":0,""time_from_start_s"":0,""object_pose"":{""translation_m"":[0.06108571880916903,0.03490397913409367,0.16242843753057934],""matrix"":[[1,0,0,0.06108571880916903],[0,1,0,0.03490397913409367],[0,0,1,0.16242843753057934],[0,0,0,1]],""rpy_rad"":[0,0,0]},""left_target"":{""translation_m"":[0.06660137248036299,0.18302498821587887,0.16146785761529492],""matrix"":[[-0.005877900703939728,-0.9999694853278952,-0.00514574546389653,0.06660137248036299],[-0.999982678855394,0.00587625946427515,0.0003340118238106728,0.18302498821587887],[-0.0003037638960664171,0.005147619622029545,-0.9999867047814799,0.16146785761529492],[0,0,0,1]]},""right_target"":{""translation_m"":[0.055570065137975064,-0.11321702994769155,0.16338901744586376],""matrix"":[[-0.025900668195096545,0.9996456237078992,0.006146738053042209,0.055570065137975064],[0.9996637931998321,0.025907581508356863,-0.0010477526955913166,-0.11321702994769155],[-0.001206628513995724,0.0061175339829908975,-0.9999805597238359,0.16338901744586376],[0,0,0,1]]},""phase"":""RIGID""}"
1,0.75,3.0052927397903626,0.6322686617091388,-1.6337080164824078,1.4519625043161686,-0.0801204371216286,0.4393660510239311,0.13098519121935073,2.5616355633517545,1.5680161883009103,-1.4602706911819832,3.214324264283837,2.406500231528012,"{""sample_index"":1,""time_from_start_s"":0.75,""object_pose"":{""translation_m"":[0.06108571880916902,0.034903979134093675,0.197310775621815],""matrix"":[[0.9914448593748453,-0.13052613041445238,0.00014176820047891425,0.06108571880916902],[0.13052617904389924,0.9914447751461726,-0.00041763567282635775,0.034903979134093675],[-8.60429733496339e-05,0.0004325672024336893,0.9999999027411064,0.197310775621815],[0,0,0,1]],""rpy_rad"":[0.00043256721752484744,8.604297345580223e-05,0.13089968109706343]},""left_target"":{""translation_m"":[0.04722038695935088,0.18247811804867803,0.19641379350723387],""matrix"":[[0.12469621205157488,-0.9921808814004639,-0.005287086474346034,0.04722038695935088],[-0.9921946952448991,-0.12469835916667005,7.712990408807058e-05,0.18247811804867803],[-0.0007358178243436801,0.0052362013462715065,-0.9999860202860792,0.19641379350723387],[0,0,0,1]]},""right_target"":{""translation_m"":[0.07495105065898716,-0.11267015978049066,0.19820775773639615],""matrix"":[[-0.15616150203976256,0.987712765730859,0.0060891455051333455,0.07495105065898716],[0.9877312333476991,0.15616330508326057,0.00018114884983154878,-0.11267015978049066],[-0.00077197805573842,0.006042727676301427,-0.9999814445739039,0.19820775773639615],[0,0,0,1]]},""phase"":""RIGID""}"
2,1.5,2.964509582556291,0.6333504528429701,-1.656036073405794,1.4149939797544526,-0.098452581022079,0.2843480463748309,0.16399512100066382,2.578573224825527,1.5151430725135842,-1.434974061734628,3.2363772726559525,2.2421945063964177,"{""sample_index"":2,""time_from_start_s"":1.5,""object_pose"":{""translation_m"":[0.061085718809169014,0.03490397913409368,0.23219311371305068],""matrix"":[[0.9659258199142651,-0.2588188497086824,0.00033683590857539863,0.061085718809169014],[0.2588190433943974,0.965925484440766,-0.000813193876427481,0.03490397913409368],[-0.00011488848448063247,0.0008726645094758414,0.9999996126285701,0.23219311371305068],[0,0,0,1]],""rpy_rad"":[0.0008726646259971648,0.00011488848473337496,0.2617993877991494]},""left_target"":{""translation_m"":[0.028076598357834694,0.17940617393185032,0.2313611604325097],""matrix"":[[0.25313664829454435,-0.9674154978165938,-0.005393688392580531,0.028076598357834694],[-0.9674298191241921,-0.25313930285917896,-0.00019600332095629706,0.17940617393185032],[-0.0011757378692208395,0.005267630609767915,-0.9999854347480377,0.2313611604325097],[0,0,0,1]]},""right_target"":{""translation_m"":[0.09409483926050333,-0.10959821566366296,0.23302506699359166],""matrix"":[[-0.28375036364988654,0.95888020886415,0.00587164178074281,0.09409483926050333],[0.9588981287818297,0.2837471425394487,0.0013920199005351133,-0.10959821566366296],[-0.0003312812443328503,0.00602529246941621,-0.999981792885948,0.23302506699359166],[0,0,0,1]]},""phase"":""RIGID""}"
3,2.25,2.922913705867221,0.6298642688502858,-1.6734992196711695,1.376443450180216,-0.11556977889530173,0.12895142267123977,0.19554658272604356,2.5996457617149953,1.4595214623136494,-1.4119402972690662,3.2592583917370206,2.0798082335716885,"{""sample_index"":3,""time_from_start_s"":2.25,""object_pose"":{""translation_m"":[0.06108571880916901,0.034903979134093696,0.2670754518042864],""matrix"":[[0.9238795241920561,-0.3826830100896651,0.0005818654255387055,0.06108571880916901],[0.38268344277648975,0.923878774756492,-0.0011799064268999911,0.034903979134093696],[-8.604297334963395e-05,0.0013127616525532718,0.9999991346263508,0.2670754518042864],[0,0,0,1]],""rpy_rad"":[0.001312762034469482,8.604297345580228e-05,0.3926990945012353]},""left_target"":{""translation_m"":[0.0094975657573425,0.17386171825073954,0.2663088457176807],""matrix"":[[0.37724573272659645,-0.9260970817492858,-0.005463727210450288,0.0094975657573425],[-0.9261117889833449,-0.377248887632183,-0.0004807144154528317,0.17386171825073954],[-0.0016159967951623797,0.005241369643276837,-0.9999849581861823,0.2663088457176807],[0,0,0,1]]},""right_target"":{""translation_m"":[0.1126738718609955,-0.10405375998255216,0.26784205789089205],""matrix"":[[-0.4064841485631201,0.9136412914976779,0.005497948469242145,0.1126738718609955],[0.9136578272635156,0.4064760753801716,0.0025641418925259375,-0.10405375998255216],[0.00010792139385072848,0.006065526686792983,-0.9999815987001884,0.26784205789089205],[0,0,0,1]]},""phase"":""RIGID""}"
4,3.0,2.8807792754591524,0.6218360061756307,-1.6854551609592525,1.336672203273147,-0.13143836184900862,-0.02610504159132713,0.2258019524827072,2.6244049911086282,1.4016645596042407,-1.390947170485753,3.2827918027658614,1.9193531967029416,"{""sample_index"":4,""time_from_start_s"":3,""object_pose"":{""translation_m"":[0.061085718809169,0.0349039791340937,0.301957789895522],""matrix"":[[0.8660254037844387,-0.49999923845664374,0.0008726641829491542,0.061085718809169],[0.4999999999999999,0.8660240847526537,-0.0015114987028135175,0.0349039791340937],[-5.421010862427522e-20,0.0017453283658983088,0.9999984769132877,0.301957789895522],[0,0,0,1]],""rpy_rad"":[0.0017453292519943296,5.421010862427522e-20,0.5235987755982987]},""left_target"":{""translation_m"":[-0.008198814997109276,0.16593961920767913,0.30125573124202004],""matrix"":[[0.4948999014831251,-0.8689326104170473,-0.005496004531371935,-0.008198814997109276],[-0.8689475754374845,-0.49490354106001067,-0.0007721318408280911,0.16593961920767913],[-0.0020490615682209616,0.005157867784086876,-0.9999845987547066,0.30125573124202004],[0,0,0,1]]},""right_target"":{""translation_m"":[0.13037025261544727,-0.09613166093949171,0.302659848549024],""matrix"":[[-0.5222628249260275,0.8527700724413436,0.004974459636113169,0.13037025261544727],[0.852784411286136,0.5222501547731995,0.0036774592761358227,-0.09613166093949171],[0.0005381148984373002,0.006162741902354534,-0.999980865339233,0.302659848549024],[0,0,0,1]]},""phase"":""RIGID""}"
5,3.75,2.851076609796595,0.5825934552875419,-1.5929472324195741,1.3008220345996944,-0.27068277157532666,-0.046186394108881805,0.20978196687557163,2.6530262254252386,1.2967727170561552,-1.300383441431891,3.269024679413213,1.7932606456715954,"{""sample_index"":5,""time_from_start_s"":3.75,""object_pose"":{""translation_m"":[0.09629986060402451,0.0349039791340937,0.325471345325811],""matrix"":[[0.8316529480574061,-0.5505235902849984,0.0726439985624468,0.09629986060402451],[0.5551839664254935,0.8269646501472006,-0.08888324268935531,0.0349039791340937],[-0.01114169697497084,0.11425079407441127,0.9933894596994095,0.325471345325811],[0,0,0,1]],""rpy_rad"":[0.11450796159061172,0.011141927504752553,0.5886255714531212]},""left_target"":{""translation_m"":[0.019273080157810332,0.16054239952919808,0.34137860452764224],""matrix"":[[0.5456036145134328,-0.8344886462256872,-0.0771063885180562,0.019273080157810332],[-0.8301866428798854,-0.550765103440889,0.08630144156138152,0.16054239952919808],[-0.11448508118398311,0.016926315374787664,-0.9932807589166973,0.34137860452764224],[0,0,0,1]]},""right_target"":{""translation_m"":[0.1733266410502387,-0.09073444126101066,0.3095640861239798],""matrix"":[[-0.5719665218914366,0.817539897311643,-0.06695382094459618,0.1733266410502387],[0.8124142323617436,0.5758681302105857,0.09142763074608709,-0.09073444126101066],[0.11330230752942179,-0.0021006930837757314,-0.9935583396042107,0.3095640861239798],[0,0,0,1]]},""phase"":""RIGID""}"
6,4.5,2.8254246307489765,0.5387303620526317,-1.4918778688512804,1.2744771293063235,-0.4112729212354332,-0.06472450984801802,0.19422193393447534,2.6884355143199645,1.189164759869341,-1.2061339135845541,3.2745396944585403,1.671645919271176,"{""sample_index"":6,""time_from_start_s"":4.5,""object_pose"":{""translation_m"":[0.13151400239888,0.0349039791340937,0.3489849007561],""matrix"":[[0.7932655443606594,-0.5903741668088165,0.1489567698863749,0.13151400239888],[0.608694060821755,0.774908649540444,-0.17031771836108786,0.0349039791340937],[-0.014876708322351564,0.22577627871900308,0.9740655807066025,0.3489849007561],[0,0,0,1]],""rpy_rad"":[0.22776546738525993,0.014877257120389628,0.6544984694978735]},""left_target"":{""translation_m"":[0.048299478205925964,0.15320517966090794,0.38140938838281907],""matrix"":[[0.5856559570621268,-0.7959437571163537,-0.153233924002315,0.048299478205925964],[-0.7784213341105586,-0.604998653265281,0.16744209789874973,0.15320517966090794],[-0.2259808101569302,0.02121709345549538,-0.9739006665908585,0.38140938838281907],[0,0,0,1]]},""right_target"":{""translation_m"":[0.21472852659183406,-0.08339722139272054,0.31656041312938094],""matrix"":[[-0.6109015221402777,0.7786005111131462,-0.1434593124932615,0.21472852659183406],[0.7590880472967027,0.6275124386469777,0.1732439776575281,-0.08339722139272054],[0.22491035258069123,-0.00306323973441712,-0.9743746455364891,0.31656041312938094],[0,0,0,1]]},""phase"":""RIGID""}"
7,5.25,2.803438211992598,0.4902922245287531,-1.3814237320559541,1.259194210862243,-0.5530513922562996,-0.07964892998430118,0.17968541900962726,2.730396416037744,1.0777101011750685,-1.1107387162193978,3.299309152556407,1.5556369787764714,"{""sample_index"":7,""time_from_start_s"":5.25,""object_pose"":{""translation_m"":[0.16672814419373552,0.0349039791340937,0.372498456186389],""matrix"":[[0.7515141533849014,-0.6188751953443353,0.2285168918257156,0.16672814419373552],[0.6596228769916133,0.7107388310957633,-0.24443398724795873,0.0349039791340937],[-0.01114169697497086,0.3344305706124053,0.9423545277804841,0.372498456186389],[0,0,0,1]],""rpy_rad"":[0.34102297317990815,0.011141927504752574,0.7203713675426259]},""left_target"":{""translation_m"":[0.07898530882612628,0.14405238171145227,0.4210679891990091],""matrix"":[[0.6143777349650039,-0.7539515743644487,-0.2325876658222458,0.07898530882612628],[-0.714529467838399,-0.6566845162220032,0.2412738811907499,0.14405238171145227],[-0.3346455413864732,0.017957440453556288,-0.9421729628696163,0.4210679891990091],[0,0,0,1]]},""right_target"":{""translation_m"":[0.2544709795613448,-0.07424442344326487,0.32392892317376887],""matrix"":[[-0.6384075790235532,0.7366122348703112,-0.22324466059606293,0.2544709795613448],[0.6937101436155539,0.6763073132564604,0.24773908589626226,-0.07424442344326487],[0.33346963833334753,0.0032914244930404486,-0.9427550937728383,0.32392892317376887],[0,0,0,1]]},""phase"":""RIGID""}"
8,6.0,2.784529217877271,0.43712614273634803,-1.2602903296608747,1.258138234487049,-0.6959933413138909,-0.0873758433867937,0.16660476383459397,2.778988830404677,0.960555565792925,-1.0164362343725177,3.343234967437084,1.4460897033815345,"{""sample_index"":8,""time_from_start_s"":6,""object_pose"":{""translation_m"":[0.201942285988591,0.0349039791340937,0.396012011616678],""matrix"":[[0.7071067811865476,-0.6355433650282367,0.30997521057108,0.201942285988591],[0.7071067811865475,0.6355433650282368,-0.30997521057108,0.0349039791340937],[-2.7755575615628914e-17,0.43837114678907735,0.898794046299167,0.396012011616678],[0,0,0,1]],""rpy_rad"":[0.4537856055185256,2.7755575615628914e-17,0.7853981633974483]},""left_target"":{""translation_m"":[0.11140736159744233,0.13323921575239786,0.4600806247225633],""matrix"":[[0.6312818939651637,-0.7092241872924026,-0.3138219598931647,0.11140736159744233],[-0.6395945008589577,-0.7049462208175504,0.30654477686960235,0.13323921575239786],[-0.4386365748803179,0.007202632469077436,-0.8986356754896718,0.4600806247225633],[0,0,0,1]]},""right_target"":{""translation_m"":[0.2924772103797397,-0.06343125748421047,0.3319433985107927],""matrix"":[[-0.6540182540728351,0.6922870916603002,-0.3049568921340255,0.2924772103797397],[0.6173891778368041,0.7214253069543224,0.3136496924529925,-0.06343125748421047],[0.4371392529040553,0.0168555393382949,-0.89923587804541,0.3319433985107927],[0,0,0,1]]},""phase"":""RIGID""}"
9,6.75,2.811352359862837,0.45777672221880295,-1.2031322955607302,1.2883501465074585,-0.54491322058127,0.18795028614151518,0.20532629585859127,2.781544975728459,0.9124533941423931,-1.1666582379633867,3.419110971208064,1.5822648656430485,"{""sample_index"":9,""time_from_start_s"":6.75,""object_pose"":{""translation_m"":[0.23104180382005102,0.0349039791340937,0.396012011616678],""matrix"":[[0.816614709458389,-0.5244781966615665,0.24096273056807402,0.23104180382005102],[0.5681787931855394,0.8039248279164933,-0.17572060218898805,0.0349039791340937],[-0.1015542971538623,0.2804059419592742,0.9544942286067095,0.396012011616678],[0,0,0,1]],""rpy_rad"":[0.28573546751903833,0.10172967185892828,0.6078836841995311]},""left_target"":{""translation_m"":[0.15762826405000419,0.15728480699867803,0.4360690163750375],""matrix"":[[0.5195959361454623,-0.8184313762151824,-0.24533680027187843,0.15762826405000419],[-0.8071972239719855,-0.5643419273371815,0.17306308289544584,0.15728480699867803],[-0.2800940998183309,0.10811230954835081,-0.9538653069333639,0.4360690163750375],[0,0,0,1]]},""right_target"":{""translation_m"":[0.30445534359009785,-0.08747684873049064,0.3559550068583185],""matrix"":[[-0.5457434826597396,0.8042114566290951,-0.23538900603241364,0.30445534359009785],[0.7891503620138327,0.5877302153419957,0.17836731793545665,-0.08747684873049064],[0.28179027177646726,-0.08841451804178231,-0.9553936967196215,0.3559550068583185],[0,0,0,1]]},""phase"":""RIGID""}"
