observation_index,capture_wall_time_ms,execution_state,timeline_s,commanded_json,actual_json,torque_json
0,1788503988620,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.045072106230152,0.6267339462900731,-1.6071436811323045,1.4871193083348315,-0.06070307498313838,0.5934496447899151],""received_at_ms"":1788503988560,""age_ms"":60,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09638318994750886,2.549256005263875,1.6175242013914661,-1.488020072761786,3.1933315430017633,2.5725797127229013],""received_at_ms"":1788503988537,""age_ms"":83,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-112.36811382434098,-3.367675738991238,1.72607421875,-3.969970703125,-0.2589111328125,0.7274169921875],""received_at_ms"":1788503987887,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":733,""fresh"":true},""right"":{""values"":[111.13329938671086,3.143164023058489,-2.6630859375,4.29052734375,-0.03082275390625,0.09246826171875],""received_at_ms"":1788503987893,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":727,""fresh"":true}}"
1,1788503988655,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.045072106230152,0.6267339462900731,-1.6071436811323045,1.4871193083348315,-0.06070307498313838,0.5934496447899151],""received_at_ms"":1788503988560,""age_ms"":95,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09638318994750886,2.5492439624920364,1.6175362441633048,-1.488020072761786,3.1933435857736026,2.5725917554947397],""received_at_ms"":1788503988651,""age_ms"":4,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-112.36811382434098,-3.367675738991238,1.72607421875,-3.969970703125,-0.2589111328125,0.7274169921875],""received_at_ms"":1788503987887,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":768,""fresh"":true},""right"":{""values"":[111.13329938671086,3.143164023058489,-2.6630859375,4.29052734375,-0.03082275390625,0.09246826171875],""received_at_ms"":1788503987893,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":762,""fresh"":true}}"
2,1788503988757,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450480206864747,0.6267220780511594,-1.607131638360466,1.4871193083348315,-0.06070307498313838,0.5934496447899151],""received_at_ms"":1788503988669,""age_ms"":88,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09639523271934762,2.549256005263875,1.6175482869351436,-1.4880082045228724,3.1933435857736026,2.5726037982665786],""received_at_ms"":1788503988721,""age_ms"":36,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-112.36811382434098,-3.367675738991238,1.72607421875,-3.969970703125,-0.2589111328125,0.7274169921875],""received_at_ms"":1788503987887,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":870,""fresh"":true},""right"":{""values"":[111.13329938671086,3.143164023058489,-2.6630859375,4.29052734375,-0.03082275390625,0.09246826171875],""received_at_ms"":1788503987893,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":864,""fresh"":true}}"
3,1788503988857,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450600634583136,0.6267220780511594,-1.6071197701215523,1.4871311765737452,-0.06071511775497714,0.5934377765510016],""received_at_ms"":1788503988852,""age_ms"":5,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09635927893675653,2.549256005263875,1.6175362441633048,-1.4880321155336247,3.1933315430017633,2.5725917554947397],""received_at_ms"":1788503988791,""age_ms"":66,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-112.36811382434098,-3.367675738991238,1.72607421875,-3.969970703125,-0.2589111328125,0.7274169921875],""received_at_ms"":1788503987887,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":970,""fresh"":true},""right"":{""values"":[111.13329938671086,3.143164023058489,-2.6630859375,4.29052734375,-0.03082275390625,0.09246826171875],""received_at_ms"":1788503987893,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":964,""fresh"":true}}"
4,1788503988963,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.045072106230152,0.6267100352793207,-1.6071436811323045,1.4871193083348315,-0.06070307498313838,0.5934616875617539],""received_at_ms"":1788503988923,""age_ms"":40,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09638318994750886,2.549256005263875,1.6175362441633048,-1.4880321155336247,3.1933435857736026,2.5725797127229013],""received_at_ms"":1788503988904,""age_ms"":59,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-112.36811382434098,-3.367675738991238,1.72607421875,-3.969970703125,-0.2589111328125,0.7274169921875],""received_at_ms"":1788503987887,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1076,""fresh"":true},""right"":{""values"":[111.13329938671086,3.143164023058489,-2.6630859375,4.29052734375,-0.03082275390625,0.09246826171875],""received_at_ms"":1788503987893,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1070,""fresh"":true}}"
5,1788503989066,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450600634583136,0.6267220780511594,-1.607131638360466,1.4871193083348315,-0.06070307498313838,0.5934616875617539],""received_at_ms"":1788503989037,""age_ms"":29,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.0963713217085953,2.5492439624920364,1.6175242013914661,-1.488020072761786,3.1933315430017633,2.5725797127229013],""received_at_ms"":1788503989041,""age_ms"":25,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-112.36811382434098,-3.367675738991238,1.72607421875,-3.969970703125,-0.2589111328125,0.7274169921875],""received_at_ms"":1788503987887,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1179,""fresh"":true},""right"":{""values"":[111.13329938671086,3.143164023058489,-2.6630859375,4.29052734375,-0.03082275390625,0.09246826171875],""received_at_ms"":1788503987893,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1173,""fresh"":true}}"
6,1788503989168,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.045072106230152,0.6267100352793207,-1.6071197701215523,1.4871193083348315,-0.06070307498313838,0.5934616875617539],""received_at_ms"":1788503989151,""age_ms"":17,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09639523271934762,2.549256005263875,1.6175362441633048,-1.488020072761786,3.1933315430017633,2.5725917554947397],""received_at_ms"":1788503989151,""age_ms"":17,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-112.36811382434098,-3.367675738991238,1.72607421875,-3.969970703125,-0.2589111328125,0.7274169921875],""received_at_ms"":1788503987887,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1281,""fresh"":true},""right"":{""values"":[111.13329938671086,3.143164023058489,-2.6630859375,4.29052734375,-0.03082275390625,0.09246826171875],""received_at_ms"":1788503987893,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1275,""fresh"":true}}"
7,1788503989263,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450600634583136,0.6267220780511594,-1.607131638360466,1.4871193083348315,-0.06071511775497714,0.5934616875617539],""received_at_ms"":1788503989222,""age_ms"":41,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09639523271934762,2.549256005263875,1.6175362441633048,-1.488020072761786,3.1933315430017633,2.5725917554947397],""received_at_ms"":1788503989151,""age_ms"":112,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-112.36811382434098,-3.367675738991238,1.72607421875,-3.969970703125,-0.2589111328125,0.7274169921875],""received_at_ms"":1788503987887,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1376,""fresh"":true},""right"":{""values"":[111.13329938671086,3.143164023058489,-2.6630859375,4.29052734375,-0.03082275390625,0.09246826171875],""received_at_ms"":1788503987893,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1370,""fresh"":true}}"
8,1788503989366,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450600634583136,0.6267100352793207,-1.607131638360466,1.4871193083348315,-0.06070307498313838,0.5934496447899151],""received_at_ms"":1788503989290,""age_ms"":76,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09638318994750886,2.549256005263875,1.6175362441633048,-1.488020072761786,3.1933435857736026,2.5725917554947397],""received_at_ms"":1788503989345,""age_ms"":21,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-112.36811382434098,-3.367675738991238,1.72607421875,-3.969970703125,-0.2589111328125,0.7274169921875],""received_at_ms"":1788503987887,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1479,""fresh"":true},""right"":{""values"":[111.13329938671086,3.143164023058489,-2.6630859375,4.29052734375,-0.03082275390625,0.09246826171875],""received_at_ms"":1788503987893,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1473,""fresh"":true}}"
9,1788503989470,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.045083974469066,0.6267220780511594,-1.6071197701215523,1.4871311765737452,-0.06070307498313838,0.5934496447899151],""received_at_ms"":1788503989402,""age_ms"":68,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09639523271934762,2.549256005263875,1.6175242013914661,-1.488020072761786,3.1933435857736026,2.5726037982665786],""received_at_ms"":1788503989439,""age_ms"":31,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-112.36811382434098,-3.367675738991238,1.72607421875,-3.969970703125,-0.2589111328125,0.7274169921875],""received_at_ms"":1788503987887,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1583 ms exceeds 1500 ms"",""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1583,""fresh"":false},""right"":{""values"":[111.13329938671086,3.143164023058489,-2.6630859375,4.29052734375,-0.03082275390625,0.09246826171875],""received_at_ms"":1788503987893,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1577 ms exceeds 1500 ms"",""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1577,""fresh"":false}}"
